,정류장명,위도,경도,표준ID,ARS-ID
404,한국경제신문사,37.5606234736,126.9681135141,101000017,2109
405,경찰청.동북아역사재단,37.5630494858,126.96912672280001,101000018,2110
406,써미트호텔,37.5624042727,127.00678397690001,101000300,2111
407,서대문경찰서.농협은행.유관순활동터,37.5649062803,126.9677868059,101000020,2113
408,염천교,37.5598597457,126.9733602844,101000021,2116
409,숭례문,37.5582968367,126.97329328110001,101000022,2117
410,숭례문.한국일보,37.558771309099996,126.9737375955,101000023,2118
411,후암삼거리,37.5533418143,126.9760823693,101000025,2120
412,숭례문,37.558732708499996,126.9744042993,101000026,2121
413,숭례문,37.558487,126.97402,101000027,2122
414,숭례문,37.557960316,126.97369826399999,101000028,2123
415,남대문시장악세사리전문상가,37.5586132397,126.9762051934,101000029,2124
416,숭례문남산방향,37.558558164299995,126.9756720863,101000030,2125
417,남대문시장,37.561191081,126.9800597585,101000031,2126
418,북창동.남대문시장,37.561175,126.97792,101000032,2127
419,시청앞,37.5623244458,126.97655812129999,101000033,2128
420,삼성본관앞,37.5620517519,126.9759075283,101000034,2131
421,시청앞,37.562762762199995,126.97614274770001,101000035,2132
422,서소문,37.563206740700004,126.9748872517,101000036,2133
423,서소문,37.5636754044,126.9753398851,101000037,2134
424,시청.서소문청사,37.563524840700005,126.9749539314,101000038,2135
425,서울신문사,37.5683632936,126.9773647051,101000039,2137
426,우리은행종로지점,37.567519004699996,126.9829289124,101000040,2139
427,롯데백화점,37.5644917964,126.9820649381,101000041,2140
428,해운센터.롯데영프라자,37.562890784699995,126.98154783940001,101000042,2141
429,롯데영프라자,37.562884999999994,126.98200800000001,101000043,2142
430,신세계앞,37.5608492473,126.9815255531,101000045,2144
431,남대문시장.회현역,37.558267523699996,126.97776505459998,101000046,2145
432,남대문시장.회현역,37.558492025700005,126.9784645011,101000047,2146
433,남산3호터널,37.558455773,126.982669512,101000048,2147
